Agencia;dia;categoria;Senhas atendimento;time;Até 5 min. de espera;5 a 10 min. de espera;10 a 15 min. de espera;15 a 20 min. de espera;20 a 30 min. de espera;30 a 40 min. de espera;40 a 50 min. de espera;Acima de 50 min. de espera
Araras;16/01/2023;4 - B - CAIXA PREFERENCIAL;9;00:02:43;8;0;1;0;0;0;0;0
Araras;16/01/2023;6 - C - CAIXA PREFERENCIAL + 80 ANOS;1;00:01:36;1;0;0;0;0;0;0;0
Araras;17/01/2023;3 - A - CAIXA ;29;00:07:07;15;6;3;3;1;1;0;0
Araras;17/01/2023;4 - B - CAIXA PREFERENCIAL;6;00:02:31;6;0;0;0;0;0;0;0
Araras;17/01/2023;6 - C - CAIXA PREFERENCIAL + 80 ANOS;1;00:04:34;1;0;0;0;0;0;0;0
Araras;18/01/2023;3 - A - CAIXA ;11;00:02:27;10;1;0;0;0;0;0;0
Araras;18/01/2023;4 - B - CAIXA PREFERENCIAL;6;00:00:54;6;0;0;0;0;0;0;0
Araras;19/01/2023;3 - A - CAIXA ;29;00:03:39;20;6;2;1;0;0;0;0
Araras;19/01/2023;4 - B - CAIXA PREFERENCIAL;9;00:02:14;7;2;0;0;0;0;0;0
Araras;20/01/2023;3 - A - CAIXA ;28;00:03:26;18;8;2;0;0;0;0;0
Araras;20/01/2023;4 - B - CAIXA PREFERENCIAL;6;00:03:12;4;2;0;0;0;0;0;0
Araras;20/01/2023;6 - C - CAIXA PREFERENCIAL + 80 ANOS;1;00:01:25;1;0;0;0;0;0;0;0
Araras;23/01/2023;3 - A - CAIXA ;19;00:03:15;13;5;0;1;0;0;0;0
Araras;23/01/2023;4 - B - CAIXA PREFERENCIAL;4;00:00:19;4;0;0;0;0;0;0;0
Araras;24/01/2023;3 - A - CAIXA ;20;00:02:36;17;2;0;1;0;0;0;0
Araras;24/01/2023;4 - B - CAIXA PREFERENCIAL;8;00:02:55;6;1;1;0;0;0;0;0
Araras;25/01/2023;3 - A - CAIXA ;23;00:02:41;19;3;1;0;0;0;0;0
Araras;25/01/2023;4 - B - CAIXA PREFERENCIAL;7;00:01:08;7;0;0;0;0;0;0;0
Araras;26/01/2023;3 - A - CAIXA ;14;00:03:39;9;5;0;0;0;0;0;0
Araras;26/01/2023;4 - B - CAIXA PREFERENCIAL;5;00:02:26;5;0;0;0;0;0;0;0
Araras;27/01/2023;3 - A - CAIXA ;23;00:04:00;16;3;4;0;0;0;0;0
Araras;27/01/2023;4 - B - CAIXA PREFERENCIAL;11;00:00:58;11;0;0;0;0;0;0;0
Araras;30/01/2023;3 - A - CAIXA ;25;00:02:28;20;3;2;0;0;0;0;0
Araras;30/01/2023;4 - B - CAIXA PREFERENCIAL;9;00:01:25;9;0;0;0;0;0;0;0
Araras;31/01/2023;3 - A - CAIXA ;13;00:00:58;12;1;0;0;0;0;0;0
Araras;31/01/2023;4 - B - CAIXA PREFERENCIAL;7;00:01:31;7;0;0;0;0;0;0;0
Araras;01/02/2023;3 - A - CAIXA ;23;00:02:30;18;4;1;0;0;0;0;0
Araras;01/02/2023;4 - B - CAIXA PREFERENCIAL;4;00:02:28;3;1;0;0;0;0;0;0
Araras;02/02/2023;3 - A - CAIXA ;16;00:02:38;12;4;0;0;0;0;0;0
Araras;02/02/2023;4 - B - CAIXA PREFERENCIAL;8;00:02:19;7;1;0;0;0;0;0;0
Araras;03/02/2023;3 - A - CAIXA ;35;00:03:16;24;8;3;0;0;0;0;0
Araras;03/02/2023;4 - B - CAIXA PREFERENCIAL;5;00:02:06;4;1;0;0;0;0;0;0
Araras;06/02/2023;3 - A - CAIXA ;36;00:05:02;19;12;5;0;0;0;0;0
Araras;06/02/2023;4 - B - CAIXA PREFERENCIAL;11;00:02:11;10;0;1;0;0;0;0;0
Araras;07/02/2023;3 - A - CAIXA ;36;00:05:22;19;10;5;2;0;0;0;0
Araras;07/02/2023;4 - B - CAIXA PREFERENCIAL;13;00:02:58;10;3;0;0;0;0;0;0
Araras;07/02/2023;6 - C - CAIXA PREFERENCIAL + 80 ANOS;1;00:00:25;1;0;0;0;0;0;0;0
Araras;08/02/2023;3 - A - CAIXA ;33;00:03:46;23;6;4;0;0;0;0;0
Araras;08/02/2023;4 - B - CAIXA PREFERENCIAL;6;00:03:09;5;0;1;0;0;0;0;0
Araras;09/02/2023;3 - A - CAIXA ;26;00:03:38;18;6;2;0;0;0;0;0
Araras;09/02/2023;4 - B - CAIXA PREFERENCIAL;8;00:00:45;8;0;0;0;0;0;0;0
Araras;10/02/2023;3 - A - CAIXA ;28;00:02:46;22;6;0;0;0;0;0;0
Araras;10/02/2023;4 - B - CAIXA PREFERENCIAL;10;00:05:35;6;1;3;0;0;0;0;0
Araras;13/02/2023;3 - A - CAIXA ;20;00:03:52;15;3;1;0;1;0;0;0
Araras;13/02/2023;4 - B - CAIXA PREFERENCIAL;8;00:01:15;8;0;0;0;0;0;0;0
Araras;14/02/2023;3 - A - CAIXA ;22;00:03:08;17;5;0;0;0;0;0;0
Araras;14/02/2023;4 - B - CAIXA PREFERENCIAL;6;00:04:21;3;3;0;0;0;0;0;0
Araras;15/02/2023;3 - A - CAIXA ;23;00:04:38;14;4;5;0;0;0;0;0
Araras;15/02/2023;4 - B - CAIXA PREFERENCIAL;6;00:01:30;5;1;0;0;0;0;0;0
Araras;16/02/2023;3 - A - CAIXA ;28;00:03:09;21;4;3;0;0;0;0;0
Araras;16/02/2023;4 - B - CAIXA PREFERENCIAL;7;00:03:40;5;1;1;0;0;0;0;0
Araras;17/02/2023;3 - A - CAIXA ;35;00:03:07;27;7;1;0;0;0;0;0
Araras;17/02/2023;4 - B - CAIXA PREFERENCIAL;9;00:02:09;8;1;0;0;0;0;0;0
Araras;22/02/2023;3 - A - CAIXA ;23;00:05:15;10;12;1;0;0;0;0;0
Araras;22/02/2023;4 - B - CAIXA PREFERENCIAL;7;00:01:53;7;0;0;0;0;0;0;0
Araras;23/02/2023;3 - A - CAIXA ;26;00:02:14;22;4;0;0;0;0;0;0
Araras;23/02/2023;4 - B - CAIXA PREFERENCIAL;4;00:02:25;4;0;0;0;0;0;0;0
Araras;24/02/2023;3 - A - CAIXA ;30;00:03:25;22;5;3;0;0;0;0;0
Araras;24/02/2023;4 - B - CAIXA PREFERENCIAL;10;00:01:23;10;0;0;0;0;0;0;0
Araras;27/02/2023;3 - A - CAIXA ;28;00:02:50;21;6;1;0;0;0;0;0
Araras;27/02/2023;4 - B - CAIXA PREFERENCIAL;13;00:02:21;10;3;0;0;0;0;0;0
Araras;28/02/2023;3 - A - CAIXA ;32;00:03:35;22;7;3;0;0;0;0;0
Araras;28/02/2023;4 - B - CAIXA PREFERENCIAL;5;00:02:55;4;1;0;0;0;0;0;0
Araras;01/03/2023;3 - A - CAIXA ;20;00:02:11;16;4;0;0;0;0;0;0
Araras;01/03/2023;4 - B - CAIXA PREFERENCIAL;7;00:03:05;6;1;0;0;0;0;0;0
Araras;01/03/2023;6 - C - CAIXA PREFERENCIAL + 80 ANOS;1;00:04:45;1;0;0;0;0;0;0;0
Araras;02/03/2023;3 - A - CAIXA ;25;00:05:14;10;13;2;0;0;0;0;0
Araras;02/03/2023;4 - B - CAIXA PREFERENCIAL;9;00:02:16;8;1;0;0;0;0;0;0
Araras;02/03/2023;6 - C - CAIXA PREFERENCIAL + 80 ANOS;2;00:01:19;2;0;0;0;0;0;0;0
Araras;03/03/2023;3 - A - CAIXA ;30;00:03:54;18;9;3;0;0;0;0;0
Araras;03/03/2023;4 - B - CAIXA PREFERENCIAL;2;00:09:43;0;1;1;0;0;0;0;0
Araras;03/03/2023;6 - C - CAIXA PREFERENCIAL + 80 ANOS;0;00:00:00;0;0;0;0;0;0;0;0
Araras;06/03/2023;3 - A - CAIXA ;30;00:06:55;12;10;5;3;0;0;0;0
Araras;06/03/2023;4 - B - CAIXA PREFERENCIAL;9;00:09:38;1;3;4;1;0;0;0;0
Araras;07/03/2023;3 - A - CAIXA ;35;00:04:46;20;10;3;2;0;0;0;0
Araras;07/03/2023;4 - B - CAIXA PREFERENCIAL;13;00:02:15;11;2;0;0;0;0;0;0
Araras;08/03/2023;3 - A - CAIXA ;30;00:04:45;19;5;6;0;0;0;0;0
Araras;08/03/2023;4 - B - CAIXA PREFERENCIAL;7;00:03:03;5;2;0;0;0;0;0;0
Araras;08/03/2023;6 - C - CAIXA PREFERENCIAL + 80 ANOS;1;00:02:49;1;0;0;0;0;0;0;0
Araras;09/03/2023;3 - A - CAIXA ;27;00:04:14;19;3;5;0;0;0;0;0
Araras;09/03/2023;4 - B - CAIXA PREFERENCIAL;12;00:02:27;9;3;0;0;0;0;0;0
Araras;09/03/2023;6 - C - CAIXA PREFERENCIAL + 80 ANOS;1;00:00:51;1;0;0;0;0;0;0;0
Araras;10/03/2023;3 - A - CAIXA ;28;00:06:08;13;8;7;0;0;0;0;0
Araras;10/03/2023;4 - B - CAIXA PREFERENCIAL;8;00:03:23;5;3;0;0;0;0;0;0
Araras;13/03/2023;3 - A - CAIXA ;44;00:05:09;24;11;9;0;0;0;0;0
Araras;13/03/2023;4 - B - CAIXA PREFERENCIAL;8;00:04:18;5;1;2;0;0;0;0;0
Araras;14/03/2023;3 - A - CAIXA ;30;00:04:43;19;5;5;1;0;0;0;0
Araras;14/03/2023;4 - B - CAIXA PREFERENCIAL;6;00:04:59;4;1;1;0;0;0;0;0
Araras;14/03/2023;6 - C - CAIXA PREFERENCIAL + 80 ANOS;1;00:09:16;0;1;0;0;0;0;0;0
Araras;15/03/2023;3 - A - CAIXA ;26;00:03:49;19;6;1;0;0;0;0;0
Araras;15/03/2023;4 - B - CAIXA PREFERENCIAL;7;00:07:21;3;1;3;0;0;0;0;0
Araras;16/03/2023;3 - A - CAIXA ;14;00:02:15;12;1;1;0;0;0;0;0
Araras;16/03/2023;4 - B - CAIXA PREFERENCIAL;6;00:02:45;4;2;0;0;0;0;0;0
Araras;16/03/2023;6 - C - CAIXA PREFERENCIAL + 80 ANOS;1;00:00:28;1;0;0;0;0;0;0;0
Araras;17/03/2023;3 - A - CAIXA ;28;00:06:11;12;9;7;0;0;0;0;0
Araras;17/03/2023;4 - B - CAIXA PREFERENCIAL;4;00:02:52;2;2;0;0;0;0;0;0
Araras;17/03/2023;6 - C - CAIXA PREFERENCIAL + 80 ANOS;1;00:10:03;0;0;1;0;0;0;0;0
Araras;20/03/2023;3 - A - CAIXA ;27;00:05:32;16;5;2;1;3;0;0;0
Araras;20/03/2023;4 - B - CAIXA PREFERENCIAL;9;00:07:00;4;2;2;1;0;0;0;0
Araras;21/03/2023;3 - A - CAIXA ;25;00:02:52;21;4;0;0;0;0;0;0
Araras;21/03/2023;4 - B - CAIXA PREFERENCIAL;9;00:02:36;7;2;0;0;0;0;0;0
Araras;21/03/2023;6 - C - CAIXA PREFERENCIAL + 80 ANOS;1;00:00:16;1;0;0;0;0;0;0;0
Araras;22/03/2023;3 - A - CAIXA ;18;00:01:41;16;1;1;0;0;0;0;0
Araras;22/03/2023;4 - B - CAIXA PREFERENCIAL;7;00:04:27;3;4;0;0;0;0;0;0
Araras;23/03/2023;3 - A - CAIXA ;19;00:02:08;16;1;2;0;0;0;0;0
Araras;23/03/2023;6 - C - CAIXA PREFERENCIAL + 80 ANOS;3;00:02:07;3;0;0;0;0;0;0;0
Araras;24/03/2023;3 - A - CAIXA ;28;00:03:02;22;5;1;0;0;0;0;0
Araras;24/03/2023;4 - B - CAIXA PREFERENCIAL;10;00:01:27;10;0;0;0;0;0;0;0
Araras;24/03/2023;6 - C - CAIXA PREFERENCIAL + 80 ANOS;1;00:04:43;1;0;0;0;0;0;0;0
Araras;27/03/2023;3 - A - CAIXA ;26;00:05:31;15;3;6;2;0;0;0;0
Araras;27/03/2023;4 - B - CAIXA PREFERENCIAL;11;00:05:58;5;4;2;0;0;0;0;0
Araras;28/03/2023;3 - A - CAIXA ;20;00:03:05;13;6;1;0;0;0;0;0
Araras;28/03/2023;4 - B - CAIXA PREFERENCIAL;4;00:05:12;2;1;1;0;0;0;0;0
Araras;29/03/2023;3 - A - CAIXA ;20;00:01:37;18;2;0;0;0;0;0;0
Araras;29/03/2023;4 - B - CAIXA PREFERENCIAL;7;00:00:39;7;0;0;0;0;0;0;0
Araras;30/03/2023;3 - A - CAIXA ;23;00:02:08;22;0;1;0;0;0;0;0
Araras;30/03/2023;4 - B - CAIXA PREFERENCIAL;8;00:01:36;7;1;0;0;0;0;0;0
Araras;31/03/2023;3 - A - CAIXA ;24;00:03:23;19;3;2;0;0;0;0;0
Araras;31/03/2023;4 - B - CAIXA PREFERENCIAL;6;00:01:30;6;0;0;0;0;0;0;0
Araras;31/03/2023;6 - C - CAIXA PREFERENCIAL + 80 ANOS;1;00:01:04;1;0;0;0;0;0;0;0
Araras;03/04/2023;3 - A - CAIXA ;28;00:03:40;19;7;2;0;0;0;0;0
Araras;03/04/2023;4 - B - CAIXA PREFERENCIAL;7;00:06:45;2;4;1;0;0;0;0;0
Araras;04/04/2023;3 - A - CAIXA ;27;00:02:29;21;6;0;0;0;0;0;0
Araras;04/04/2023;4 - B - CAIXA PREFERENCIAL;6;00:02:32;5;1;0;0;0;0;0;0
Araras;05/04/2023;3 - A - CAIXA ;36;00:03:30;27;4;5;0;0;0;0;0
Araras;05/04/2023;4 - B - CAIXA PREFERENCIAL;10;00:02:51;8;2;0;0;0;0;0;0
Araras;06/04/2023;3 - A - CAIXA ;49;00:03:51;33;10;6;0;0;0;0;0
Araras;06/04/2023;4 - B - CAIXA PREFERENCIAL;11;00:02:43;9;2;0;0;0;0;0;0
Araras;10/04/2023;3 - A - CAIXA ;57;00:05:20;28;17;9;3;0;0;0;0
Araras;10/04/2023;4 - B - CAIXA PREFERENCIAL;23;00:05:58;13;4;4;2;0;0;0;0
Araras;11/04/2023;3 - A - CAIXA ;41;00:05:14;21;15;3;2;0;0;0;0
Araras;11/04/2023;4 - B - CAIXA PREFERENCIAL;6;00:04:04;4;1;1;0;0;0;0;0
Araras;12/04/2023;3 - A - CAIXA ;26;00:04:40;15;9;2;0;0;0;0;0
Araras;12/04/2023;4 - B - CAIXA PREFERENCIAL;11;00:03:02;9;2;0;0;0;0;0;0
Araras;13/04/2023;3 - A - CAIXA ;26;00:04:46;16;6;3;1;0;0;0;0
Araras;13/04/2023;4 - B - CAIXA PREFERENCIAL;5;00:02:28;4;1;0;0;0;0;0;0
Araras;14/04/2023;3 - A - CAIXA ;28;00:05:28;14;9;5;0;0;0;0;0
Araras;14/04/2023;4 - B - CAIXA PREFERENCIAL;6;00:03:48;5;1;0;0;0;0;0;0
Araras;17/04/2023;3 - A - CAIXA ;37;00:02:56;27;9;1;0;0;0;0;0
Araras;17/04/2023;4 - B - CAIXA PREFERENCIAL;7;00:02:23;6;1;0;0;0;0;0;0
Araras;18/04/2023;3 - A - CAIXA ;24;00:02:48;19;4;1;0;0;0;0;0
Araras;18/04/2023;4 - B - CAIXA PREFERENCIAL;5;00:03:01;4;0;1;0;0;0;0;0
Araras;19/04/2023;3 - A - CAIXA ;28;00:03:37;20;3;5;0;0;0;0;0
Araras;19/04/2023;4 - B - CAIXA PREFERENCIAL;2;00:04:17;1;1;0;0;0;0;0;0
Araras;20/04/2023;3 - A - CAIXA ;31;00:03:29;22;6;3;0;0;0;0;0
Araras;20/04/2023;4 - B - CAIXA PREFERENCIAL;5;00:03:36;3;2;0;0;0;0;0;0
Araras;24/04/2023;3 - A - CAIXA ;39;00:07:12;16;9;9;5;0;0;0;0
Araras;24/04/2023;4 - B - CAIXA PREFERENCIAL;14;00:09:33;3;2;8;1;0;0;0;0
Araras;24/04/2023;6 - C - CAIXA PREFERENCIAL + 80 ANOS;1;00:09:25;0;1;0;0;0;0;0;0
Araras;25/04/2023;3 - A - CAIXA ;24;00:04:30;13;8;3;0;0;0;0;0
Araras;25/04/2023;4 - B - CAIXA PREFERENCIAL;4;00:03:03;3;1;0;0;0;0;0;0
Araras;26/04/2023;3 - A - CAIXA ;18;00:02:41;15;2;1;0;0;0;0;0
Araras;26/04/2023;4 - B - CAIXA PREFERENCIAL;6;00:00:53;6;0;0;0;0;0;0;0
Araras;27/04/2023;3 - A - CAIXA ;18;00:02:07;16;1;1;0;0;0;0;0
Araras;27/04/2023;4 - B - CAIXA PREFERENCIAL;6;00:00:19;6;0;0;0;0;0;0;0
Araras;28/04/2023;3 - A - CAIXA ;28;00:02:20;23;4;1;0;0;0;0;0
Araras;28/04/2023;4 - B - CAIXA PREFERENCIAL;12;00:02:44;9;3;0;0;0;0;0;0
Araras;02/05/2023;3 - A - CAIXA ;30;00:06:56;13;7;7;3;0;0;0;0
Araras;02/05/2023;4 - B - CAIXA PREFERENCIAL;11;00:04:17;7;4;0;0;0;0;0;0
Araras;02/05/2023;6 - C - CAIXA PREFERENCIAL + 80 ANOS;1;00:00:24;1;0;0;0;0;0;0;0
Araras;03/05/2023;3 - A - CAIXA ;30;00:03:49;22;3;4;1;0;0;0;0
Araras;03/05/2023;4 - B - CAIXA PREFERENCIAL;3;00:01:28;3;0;0;0;0;0;0;0
Araras;04/05/2023;3 - A - CAIXA ;27;00:04:04;16;9;2;0;0;0;0;0
Araras;04/05/2023;4 - B - CAIXA PREFERENCIAL;8;00:02:30;7;0;1;0;0;0;0;0
Araras;05/05/2023;3 - A - CAIXA ;48;00:03:51;35;8;3;1;1;0;0;0
Araras;05/05/2023;4 - B - CAIXA PREFERENCIAL;13;00:05:23;7;4;1;0;1;0;0;0
Araras;08/05/2023;3 - A - CAIXA ;49;00:06:38;24;10;8;7;0;0;0;0
Araras;08/05/2023;4 - B - CAIXA PREFERENCIAL;16;00:06:40;8;3;2;3;0;0;0;0
Araras;09/05/2023;3 - A - CAIXA ;29;00:04:00;17;11;1;0;0;0;0;0
Araras;09/05/2023;4 - B - CAIXA PREFERENCIAL;8;00:03:02;5;3;0;0;0;0;0;0
Araras;10/05/2023;3 - A - CAIXA ;44;00:07:07;14;19;9;0;2;0;0;0
Araras;10/05/2023;4 - B - CAIXA PREFERENCIAL;14;00:05:32;9;3;1;0;1;0;0;0
Araras;11/05/2023;3 - A - CAIXA ;25;00:02:58;20;5;0;0;0;0;0;0
Araras;11/05/2023;4 - B - CAIXA PREFERENCIAL;5;00:01:52;5;0;0;0;0;0;0;0
Araras;12/05/2023;3 - A - CAIXA ;32;00:04:42;21;6;2;1;2;0;0;0
Araras;12/05/2023;4 - B - CAIXA PREFERENCIAL;6;00:04:53;3;2;1;0;0;0;0;0
Araras;15/05/2023;3 - A - CAIXA ;40;00:06:42;17;10;10;2;1;0;0;0
Araras;15/05/2023;4 - B - CAIXA PREFERENCIAL;5;00:07:15;2;1;2;0;0;0;0;0
Araras;16/05/2023;3 - A - CAIXA ;21;00:01:11;19;2;0;0;0;0;0;0
Araras;16/05/2023;4 - B - CAIXA PREFERENCIAL;3;00:03:41;2;1;0;0;0;0;0;0
Araras;17/05/2023;3 - A - CAIXA ;33;00:03:55;26;4;3;0;0;0;0;0
Araras;17/05/2023;4 - B - CAIXA PREFERENCIAL;9;00:05:02;5;3;0;1;0;0;0;0
Araras;18/05/2023;3 - A - CAIXA ;18;00:02:36;14;2;1;1;0;0;0;0
Araras;18/05/2023;4 - B - CAIXA PREFERENCIAL;5;00:01:51;4;1;0;0;0;0;0;0
Araras;18/05/2023;6 - C - CAIXA PREFERENCIAL + 80 ANOS;1;00:00:40;1;0;0;0;0;0;0;0
Araras;19/05/2023;3 - A - CAIXA ;31;00:02:30;26;2;3;0;0;0;0;0
Araras;19/05/2023;4 - B - CAIXA PREFERENCIAL;5;00:02:07;4;1;0;0;0;0;0;0
Araras;22/05/2023;3 - A - CAIXA ;37;00:02:45;29;7;1;0;0;0;0;0
Araras;22/05/2023;4 - B - CAIXA PREFERENCIAL;6;00:05:04;2;4;0;0;0;0;0;0
Araras;23/05/2023;3 - A - CAIXA ;23;00:03:19;19;1;2;1;0;0;0;0
Araras;23/05/2023;4 - B - CAIXA PREFERENCIAL;4;00:01:45;3;1;0;0;0;0;0;0
Araras;24/05/2023;3 - A - CAIXA ;25;00:04:27;17;3;3;2;0;0;0;0
Araras;24/05/2023;4 - B - CAIXA PREFERENCIAL;5;00:03:43;4;1;0;0;0;0;0;0
Araras;25/05/2023;3 - A - CAIXA ;19;00:02:03;18;0;0;1;0;0;0;0
Araras;25/05/2023;4 - B - CAIXA PREFERENCIAL;7;00:01:05;7;0;0;0;0;0;0;0
Araras;26/05/2023;3 - A - CAIXA ;25;00:01:52;21;4;0;0;0;0;0;0
Araras;26/05/2023;4 - B - CAIXA PREFERENCIAL;7;00:00:58;7;0;0;0;0;0;0;0
Araras;29/05/2023;3 - A - CAIXA ;29;00:02:30;24;4;0;1;0;0;0;0
Araras;29/05/2023;4 - B - CAIXA PREFERENCIAL;8;00:04:01;6;1;1;0;0;0;0;0
Araras;29/05/2023;6 - C - CAIXA PREFERENCIAL + 80 ANOS;1;00:00:25;1;0;0;0;0;0;0;0
Araras;30/05/2023;3 - A - CAIXA ;26;00:02:20;21;3;2;0;0;0;0;0
Araras;30/05/2023;4 - B - CAIXA PREFERENCIAL;8;00:05:42;4;1;3;0;0;0;0;0
Araras;31/05/2023;3 - A - CAIXA ;36;00:02:45;31;0;5;0;0;0;0;0
Araras;31/05/2023;4 - B - CAIXA PREFERENCIAL;7;00:04:52;5;1;1;0;0;0;0;0
Charqueada;02/01/2023;3 - A - CAIXA ;14;00:04:10;9;5;0;0;0;0;0;0
Charqueada;02/01/2023;4 - B - CAIXA PREFERENCIAL;2;00:05:16;1;1;0;0;0;0;0;0
Charqueada;02/01/2023;6 - C - CAIXA PREFERENCIAL + 80 ANOS;1;00:01:00;1;0;0;0;0;0;0;0
Charqueada;03/01/2023;3 - A - CAIXA ;18;00:08:07;9;2;3;2;2;0;0;0
Charqueada;03/01/2023;4 - B - CAIXA PREFERENCIAL;10;00:10:31;4;1;2;1;2;0;0;0
Charqueada;03/01/2023;6 - C - CAIXA PREFERENCIAL + 80 ANOS;1;00:01:31;1;0;0;0;0;0;0;0
Charqueada;04/01/2023;3 - A - CAIXA ;24;00:10:33;8;2;8;4;2;0;0;0
Charqueada;04/01/2023;4 - B - CAIXA PREFERENCIAL;4;00:06:04;3;0;0;1;0;0;0;0
Charqueada;04/01/2023;6 - C - CAIXA PREFERENCIAL + 80 ANOS;3;00:05:46;2;0;1;0;0;0;0;0
Charqueada;05/01/2023;3 - A - CAIXA ;25;00:05:15;16;4;4;1;0;0;0;0
Charqueada;05/01/2023;4 - B - CAIXA PREFERENCIAL;7;00:04:57;6;0;0;1;0;0;0;0
Charqueada;05/01/2023;6 - C - CAIXA PREFERENCIAL + 80 ANOS;1;00:03:10;1;0;0;0;0;0;0;0
Charqueada;06/01/2023;3 - A - CAIXA ;40;00:06:00;21;10;6;2;1;0;0;0
Charqueada;06/01/2023;4 - B - CAIXA PREFERENCIAL;10;00:07:23;5;1;3;1;0;0;0;0
Charqueada;09/01/2023;3 - A - CAIXA ;37;00:12:45;12;5;7;3;9;1;0;0
Charqueada;09/01/2023;4 - B - CAIXA PREFERENCIAL;11;00:11:13;4;1;3;1;2;0;0;0
Charqueada;10/01/2023;3 - A - CAIXA ;30;00:07:13;13;9;4;4;0;0;0;0
Charqueada;10/01/2023;4 - B - CAIXA PREFERENCIAL;9;00:07:44;4;3;1;1;0;0;0;0
Charqueada;10/01/2023;6 - C - CAIXA PREFERENCIAL + 80 ANOS;3;00:03:02;3;0;0;0;0;0;0;0
Charqueada;11/01/2023;3 - A - CAIXA ;32;00:09:15;11;8;5;6;2;0;0;0
Charqueada;11/01/2023;4 - B - CAIXA PREFERENCIAL;8;00:11:13;2;2;0;4;0;0;0;0
Charqueada;11/01/2023;6 - C - CAIXA PREFERENCIAL + 80 ANOS;1;00:11:25;0;0;1;0;0;0;0;0
Charqueada;12/01/2023;3 - A - CAIXA ;23;00:04:58;13;8;1;0;1;0;0;0
Charqueada;12/01/2023;4 - B - CAIXA PREFERENCIAL;5;00:09:34;2;1;0;2;0;0;0;0
Charqueada;13/01/2023;3 - A - CAIXA ;16;00:02:46;13;3;0;0;0;0;0;0
Charqueada;13/01/2023;4 - B - CAIXA PREFERENCIAL;9;00:01:57;9;0;0;0;0;0;0;0
Charqueada;13/01/2023;6 - C - CAIXA PREFERENCIAL + 80 ANOS;1;00:05:12;0;1;0;0;0;0;0;0
Charqueada;16/01/2023;3 - A - CAIXA ;21;00:04:24;15;4;0;2;0;0;0;0
Charqueada;16/01/2023;4 - B - CAIXA PREFERENCIAL;9;00:04:27;5;4;0;0;0;0;0;0
Charqueada;16/01/2023;6 - C - CAIXA PREFERENCIAL + 80 ANOS;1;00:02:19;1;0;0;0;0;0;0;0
Charqueada;17/01/2023;3 - A - CAIXA ;26;00:04:43;17;6;2;1;0;0;0;0
Charqueada;17/01/2023;4 - B - CAIXA PREFERENCIAL;6;00:05:31;3;2;1;0;0;0;0;0
Charqueada;18/01/2023;3 - A - CAIXA ;15;00:04:09;10;3;1;1;0;0;0;0
Charqueada;18/01/2023;4 - B - CAIXA PREFERENCIAL;8;00:04:30;4;4;0;0;0;0;0;0
Charqueada;19/01/2023;3 - A - CAIXA ;18;00:03:02;15;1;2;0;0;0;0;0
